experiment_name	model	num_pops	fst	wdiff	wvar	correlation	generations	replicate_number	S_value_Driftsel	S_value_Driftsel_Neutral	p_value_QSTFST	p_value_QSTFST_Neutral	p_value_MONET	log_ratio_MONET	p_value_MONET_Neutral	log_ratio_MONET_Neutral
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	496	0.864070387735687	0.558760197507297	0.01	0.948	0.035	1.23613074096908	0.81325	0.168055832867425
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	488	0.94830203215467	0.334116553237931	0.001	0.561	0.0005	1.94133417878262	0.844	-0.133529250186694
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	486	0.882427570009336	0.47560375257176	0.006	0.867	0.02075	1.36426196135967	0.98325	0.0286381875074996
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	494	0.816246887915316	0.721532189403653	0.028	0.265	0.08975	1.07458515795631	0.039	1.47754646477369
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	495	0.938285792319215	0.744853209153841	0.003	0.055	0.001	1.86770963207086	0.07075	1.42040902764004
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	86	0.920570709497647	0.59048781082467	0.007	0.7	0.00375	1.6519617666877	0.19175	0.908522267098337
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	64	0.964142994100696	0.452920867083299	0.001	0.481	0.0	2.01581725908461	0.60975	-0.988861548319004
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	499	0.845536454914181	0.285145858143775	0.022	0.132	0.02625	1.28268761821504	0.27625	-1.45003622310212
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	480	0.978245110208869	0.49336457144163	0.001	0.898	0.0	2.17911167653696	0.828	0.174500990692948
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	492	0.894451670695671	0.304068795228122	0.012	0.253	0.009	1.4758668425209	0.355	-1.19508014380427
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	485	0.911373178553621	0.670373405218723	0.005	0.158	0.002	1.88622879547186	0.18125	0.898585714234367
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	490	0.826160759804315	0.588652508793874	0.022	0.455	0.05175	1.14717942582225	0.462	0.529035053573643
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	497	0.922363770909464	0.484936740349571	0.008	0.623	0.002	1.82134240918599	0.58975	0.414570534337382
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	65	0.866918693869945	0.429476944416288	0.016	0.552	0.025	1.27060696678493	0.5765	-0.73012970131962
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	491	0.936468400324274	0.745514489238773	0.003	0.074	0.007	1.63717364176236	0.10875	1.14641176167372
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	81	0.97630048960149	0.401654717449361	0.0	0.525	0.0	2.25287343892039	0.2805	-1.47142875687229
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	61	0.913671563615265	0.389883035309805	0.005	0.805	0.003	1.58667143477061	0.62625	-0.369357050844736
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	85	0.865171932504135	0.554153285442886	0.005	0.872	0.01	1.51375667016358	0.83175	0.164547793609895
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	50	0.929897683544127	0.536159171810933	0.002	0.857	0.0025	1.66452261376016	0.66475	0.312725016634023
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	68	0.927783753761232	0.227471422831849	0.001	0.138	0.001	1.75792195325404	0.1455	-1.54889537165558
